score	q-value	spline	type
4.19228	6.60153e-05	1.96406e-12	0
4.19071	6.60153e-05	1.98445e-12	0
4.19046	6.60153e-05	1.98768e-12	0
4.18796	6.60153e-05	2.02052e-12	0
4.18701	6.60153e-05	2.03314e-12	0
4.18516	6.60153e-05	2.05798e-12	0
4.17348	6.60153e-05	2.22196e-12	0
4.17315	6.60153e-05	2.22669e-12	0
4.17314	6.60153e-05	2.22685e-12	0
4.16481	6.60153e-05	2.35201e-12	0
4.16333	6.60153e-05	2.37501e-12	0
4.15833	6.60153e-05	2.45426e-12	0
4.15291	6.60153e-05	2.54301e-12	0
4.13602	6.60153e-05	2.84112e-12	0
4.13433	6.60153e-05	2.87288e-12	0
4.12537	6.60153e-05	3.04666e-12	0
4.11927	6.60153e-05	3.1711e-12	0
4.11763	6.60153e-05	3.20557e-12	0
4.11146	6.60153e-05	3.33786e-12	0
4.10661	6.60153e-05	3.4459e-12	0
4.10442	6.60153e-05	3.49569e-12	0
4.10248	6.60153e-05	3.54057e-12	0
4.10104	6.60153e-05	3.57408e-12	0
4.09987	6.60153e-05	3.60165e-12	0
4.0997	6.60153e-05	3.60573e-12	0
4.09891	6.60153e-05	3.62439e-12	0
4.09617	6.60153e-05	3.69031e-12	0
4.094	6.60153e-05	3.74327e-12	0
4.09399	6.60153e-05	3.74336e-12	0
4.09359	6.60153e-05	3.75331e-12	0
4.09258	6.60153e-05	3.77814e-12	0
4.09082	6.60153e-05	3.82208e-12	0
4.08788	6.60153e-05	3.89662e-12	0
4.08768	6.60153e-05	3.9016e-12	0
4.08693	6.60153e-05	3.92102e-12	0
4.08524	6.60153e-05	3.96457e-12	0
4.0789	6.60153e-05	4.13307e-12	0
4.07233	6.60153e-05	4.31516e-12	0
4.07013	6.60153e-05	4.37774e-12	0
4.06888	6.60153e-05	4.41379e-12	0
4.06797	6.60153e-05	4.44035e-12	0
4.06766	6.60153e-05	4.44938e-12	0
4.06521	6.60153e-05	4.52141e-12	0
4.06252	6.60153e-05	4.60215e-12	0
4.06035	6.60153e-05	4.66807e-12	0
4.05832	6.60153e-05	4.73073e-12	0
4.0525	6.60153e-05	4.91469e-12	0
4.05115	6.60153e-05	4.95842e-12	0
4.04893	6.60153e-05	5.03139e-12	0
4.0428	6.60153e-05	5.23784e-12	0
4.03937	6.60153e-05	5.35714e-12	0
4.03713	6.60153e-05	5.4363e-12	0
4.03652	6.60153e-05	5.45809e-12	0
4.03343	6.60153e-05	5.56991e-12	0
4.02981	6.60153e-05	5.70377e-12	0
4.02968	6.60153e-05	5.70859e-12	0
4.02449	6.60153e-05	5.9064e-12	0
4.02072	6.60153e-05	6.05447e-12	0
4.01864	6.60153e-05	6.13772e-12	0
4.0143	6.60153e-05	6.315e-12	0
4.01423	6.60153e-05	6.31781e-12	0
4.01406	6.60153e-05	6.32502e-12	0
4.01146	6.60153e-05	6.43386e-12	0
4.00917	6.60153e-05	6.53114e-12	0
4.00743	6.60153e-05	6.60623e-12	0
4.00666	6.60153e-05	6.63969e-12	0
4.00529	6.60153e-05	6.69962e-12	0
4.00356	6.60153e-05	6.77622e-12	0
4.00257	6.60153e-05	6.82011e-12	0
3.99478	6.60153e-05	7.17805e-12	0
3.99302	6.60153e-05	7.26116e-12	0
3.99202	6.60153e-05	7.30931e-12	0
3.98931	6.60153e-05	7.44042e-12	0
3.98718	6.60153e-05	7.54495e-12	0
3.98191	6.60153e-05	7.81067e-12	0
3.98188	6.60153e-05	7.81199e-12	0
3.97977	6.60153e-05	7.92084e-12	0
3.97803	6.60153e-05	8.01203e-12	0
3.97791	6.60153e-05	8.0184e-12	0
3.97567	6.60153e-05	8.13671e-12	0
3.96546	6.60153e-05	8.70097e-12	0
3.96411	6.60153e-05	8.7784e-12	0
3.96345	6.60153e-05	8.81645e-12	0
3.96097	6.60153e-05	8.9609e-12	0
3.95675	6.60153e-05	9.21239e-12	0
3.95331	6.60153e-05	9.42256e-12	0
3.95045	6.60153e-05	9.60108e-12	0
3.95002	6.60153e-05	9.62836e-12	0
3.94684	6.60153e-05	9.83122e-12	0
3.9449	6.60153e-05	9.9572e-12	0
3.94471	6.60153e-05	9.96983e-12	0
3.94284	6.60153e-05	1.00931e-11	0
3.94225	6.60153e-05	1.01318e-11	0
3.93521	6.60153e-05	1.06109e-11	0
3.93503	6.60153e-05	1.0624e-11	0
3.93273	6.60153e-05	1.07854e-11	0
3.93183	6.60153e-05	1.08492e-11	0
3.9279	6.60153e-05	1.11325e-11	0
3.9277	6.60153e-05	1.11474e-11	0
3.92722	6.60153e-05	1.11823e-11	0
3.9249	6.60153e-05	1.13539e-11	0
3.92036	6.60153e-05	1.16973e-11	0
3.91937	6.60153e-05	1.17734e-11	0
3.91935	6.60153e-05	1.17747e-11	0
3.91811	6.60153e-05	1.18713e-11	0
3.91563	6.60153e-05	1.20657e-11	0
3.91346	6.60153e-05	1.22387e-11	0
3.91269	6.60153e-05	1.23007e-11	0
3.9124	6.60153e-05	1.23247e-11	0
3.91094	6.60153e-05	1.24434e-11	0
3.90931	6.60153e-05	1.25765e-11	0
3.90847	6.60153e-05	1.26463e-11	0
3.90788	6.60153e-05	1.26954e-11	0
3.9055	6.60153e-05	1.28954e-11	0
3.89719	6.60153e-05	1.3618e-11	0
3.89702	6.60153e-05	1.36335e-11	0
3.89526	6.60153e-05	1.3792e-11	0
3.89389	6.60153e-05	1.39161e-11	0
3.89388	6.60153e-05	1.39167e-11	0
3.88979	6.60153e-05	1.4296e-11	0
3.88653	6.60153e-05	1.46045e-11	0
3.88495	6.60153e-05	1.47574e-11	0
3.88484	6.60153e-05	1.47676e-11	0
3.88377	6.60153e-05	1.48716e-11	0
3.88229	6.60153e-05	1.5017e-11	0
3.88121	6.60153e-05	1.51232e-11	0
3.88092	6.60153e-05	1.51523e-11	0
3.87997	6.60153e-05	1.52468e-11	0
3.87944	6.60153e-05	1.53007e-11	0
3.8774	6.60153e-05	1.5506e-11	0
3.87634	6.60153e-05	1.5615e-11	0
3.87271	6.60153e-05	1.59912e-11	0
3.87229	6.60153e-05	1.60348e-11	0
3.87104	6.60153e-05	1.61672e-11	0
3.86974	6.60153e-05	1.63059e-11	0
3.86892	6.60153e-05	1.63934e-11	0
3.86873	6.60153e-05	1.64145e-11	0
3.86805	6.60153e-05	1.6488e-11	0
3.86699	6.60153e-05	1.66024e-11	0
3.86439	6.60153e-05	1.68883e-11	0
3.86364	6.60153e-05	1.69719e-11	0
3.86257	6.60153e-05	1.70915e-11	0
3.86085	6.60153e-05	1.72855e-11	0
3.85852	6.60153e-05	1.75511e-11	0
3.85569	6.60153e-05	1.78806e-11	0
3.85345	6.60153e-05	1.81454e-11	0
3.85305	6.60153e-05	1.81933e-11	0
3.85169	6.60153e-05	1.83562e-11	0
3.85134	6.60153e-05	1.83988e-11	0
3.84835	6.60153e-05	1.87635e-11	0
3.84311	6.60153e-05	1.94195e-11	0
3.84282	6.60153e-05	1.94567e-11	0
3.84178	6.60153e-05	1.95899e-11	0
3.83668	6.60153e-05	2.02566e-11	0
3.83531	6.60153e-05	2.0439e-11	0
3.83309	6.60153e-05	2.07386e-11	0
3.83215	6.60153e-05	2.08667e-11	0
3.82452	6.60153e-05	2.19394e-11	0
3.82107	6.60153e-05	2.24413e-11	0
3.82093	6.60153e-05	2.24613e-11	0
3.81922	6.60153e-05	2.27149e-11	0
3.81758	6.60153e-05	2.29615e-11	0
3.81671	6.60153e-05	2.3092e-11	0
3.81599	6.60153e-05	2.32014e-11	0
3.81593	6.60153e-05	2.32102e-11	0
3.80952	6.60153e-05	2.42072e-11	0
3.80863	6.60153e-05	2.4349e-11	0
3.80803	6.60153e-05	2.44458e-11	0
3.80751	6.60153e-05	2.45302e-11	0
3.80251	6.60153e-05	2.53473e-11	0
3.80076	6.60153e-05	2.56412e-11	0
3.80061	6.60153e-05	2.56649e-11	0
3.80044	6.60153e-05	2.56938e-11	0
3.79943	6.60153e-05	2.58656e-11	0
3.79315	6.60153e-05	2.69534e-11	0
3.79285	6.60153e-05	2.70061e-11	0
3.79223	6.60153e-05	2.7117e-11	0
3.79136	6.60153e-05	2.72711e-11	0
3.79044	6.60153e-05	2.74369e-11	0
3.78951	6.60153e-05	2.76043e-11	0
3.78691	6.60153e-05	2.80792e-11	0
3.78531	6.60153e-05	2.83759e-11	0
3.78425	6.60153e-05	2.85733e-11	0
3.78105	6.60153e-05	2.91803e-11	0
3.78083	6.60153e-05	2.92234e-11	0
3.77769	6.60153e-05	2.98306e-11	0
3.7767	6.60153e-05	3.00252e-11	0
3.77338	6.60153e-05	3.0686e-11	0
3.7724	6.60153e-05	3.0885e-11	0
3.7715	6.60153e-05	3.10671e-11	0
3.77125	6.60153e-05	3.11187e-11	0
3.77006	6.60153e-05	3.13633e-11	0
3.76973	6.60153e-05	3.14302e-11	0
3.76918	6.60153e-05	3.15446e-11	0
3.768	6.60153e-05	3.17895e-11	0
3.76714	6.60153e-05	3.19703e-11	0
3.76668	6.60153e-05	3.20665e-11	0
3.76658	6.60153e-05	3.20878e-11	0
3.75848	6.60153e-05	3.38383e-11	0
3.75776	6.60153e-05	3.3998e-11	0
3.75708	6.60153e-05	3.41504e-11	0
3.75663	6.60153e-05	3.4251e-11	0
3.75644	6.60153e-05	3.4295e-11	0
3.75577	6.60153e-05	3.44463e-11	0
3.75548	6.60153e-05	3.45111e-11	0
3.75047	6.60153e-05	3.5664e-11	0
3.75018	6.60153e-05	3.57322e-11	0
3.74958	6.60153e-05	3.58728e-11	0
3.74941	6.60153e-05	3.59151e-11	0
3.74713	6.60153e-05	3.64563e-11	0
3.74067	6.60153e-05	3.80339e-11	0
3.73572	6.60153e-05	3.92895e-11	0
3.7355	6.60153e-05	3.93454e-11	0
3.73356	6.60153e-05	3.98504e-11	0
3.73208	6.60153e-05	4.02391e-11	0
